"","Gender","Age","Educational_Attainment","Industry","Country","Year","Employment_Rate","Population","Industry_name","Country_Name","Educational_Attainment_FullForm","Gender_Pay_Gap","Educational_Field","Educational_Level","sex","Number_of_Student"
"3144","Female","Y55-64","ED0-2","L","DK",2018,48.2,17.8,"Real estate activities","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",17.8,"Engineering and construction","Bachelor","F",5121
"3151","Female","Y20-24","ED3_4GEN","E","PL",2018,34.6,44.6,"Water supply; sewerage, waste management and remediation activities","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",20,"
Mathematics","Master","F",1745
"3154","Male","Y30-54","ED0-2","B-N","DK",2017,74.2,7.7,"Business economy","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",19.3,"Software development","Bachelor","F",0
"3157","Male","Y20-29","ED0-2","B-N","DE",2017,61.3,17.3,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",30.3,"Management and administration","Bachelor","F",42153
"3170","Male","Y30-54","ED5-8","B-N","FI",2015,90.2,37.7,"Business economy","Finland","Tertiary education (levels 5-8)",15.2,"Management and administration","Doctor","M",0
"3174","Male","Y15-64","ED0-2","O","FR",2015,44.2,13.9,"Public administration and defence; compulsory social security","France","Less than primary, primary and lower secondary education (levels 0-2)",-6.5,"Management and administration","Bachelor","M",27585
"3175","Male","Y20-29","ED5-8","B-N","DK",2020,78.3,10.4,"Business economy","Denmark","Tertiary education (levels 5-8)",14.1,"Engineering and construction","Doctor","F",727
"3180","Male","Y20-24","ED0-2","R","DK",2017,52.4,19.4,"Arts, entertainment and recreation","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",1,"Engineering and construction","Master","F",2611
"3184","Male","Y20-24","ED0-2","R","FR",2020,47.8,17.9,"Arts, entertainment and recreation","France","Less than primary, primary and lower secondary education (levels 0-2)",22.7,"
Mathematics","Bachelor","M",0
"3197","Male","Y55-64","ED0-2","B-N","FR",2018,43.4,15.1,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",8.5,"Biological science","Master","M",7134
"3221","Female","Y15-64","ED0-2","B","DE",2017,42.9,20.3,"Mining and quarrying","Germany","Less than primary, primary and lower secondary education (levels 0-2)",4.3,"Management and administration","Bachelor","F",42153
"3264","Female","Y30-54","ED0-2","J","NL",2014,55.9,30.7,"Information and communication","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",21,"
Information Technologies","Doctor","F",133
"3265","Female","Y30-54","ED5-8","K","FR",2019,87.9,30.3,"Financial and insurance activities","France","Tertiary education (levels 5-8)",16.4,"
Mathematics","Doctor","M",5
"3271","Female","Y20-29","ED0-2","F","AT",2021,46.6,10.8,"Construction","Austria","Less than primary, primary and lower secondary education (levels 0-2)",25.8,"Management and administration","Master","M",8322
"3292","Male","Y20-29","ED5-8","B-N","DE",2019,86,9.8,"Business economy","Germany","Tertiary education (levels 5-8)",6.8,"
Mathematics","Doctor","F",0
"3317","Male","Y20-24","ED3_4GEN","B-N","IT",2018,14,39.1,"Business economy","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",15.5,"Biological science","Bachelor","F",31458
"3324","Male","Y30-54","ED5-8","B-N","NL",2019,95.2,19.7,"Business economy","Netherlands","Tertiary education (levels 5-8)",10.8,"
Information Technologies","Master","F",929
"3381","Female","Y55-64","ED0-2","M","PL",2014,17.5,16.1,"Professional, scientific and technical activities","Poland","Less than primary, primary and lower secondary education (levels 0-2)",17.7,"
Information Technologies","Doctor","M",144
"3395","Female","Y20-29","ED5-8","I","FI",2015,76.6,54.4,"Accommodation and food service activities","Finland","Tertiary education (levels 5-8)",16.5,"Management and administration","Master","M",0
"3417","Male","Y20-24","ED0-2","R","PL",2016,37,25.7,"Arts, entertainment and recreation","Poland","Less than primary, primary and lower secondary education (levels 0-2)",30.4,"Software development","Bachelor","F",4402
"3424","Female","Y55-64","ED5-8","N","NL",2018,74.1,23.6,"Administrative and support service activities","Netherlands","Tertiary education (levels 5-8)",24.7,"
Mathematics","Master","M",729
"3432","Male","Y15-64","ED5-8","Q","FR",2021,86.3,44.4,"Human health and social work activities","France","Tertiary education (levels 5-8)",8.1,"
Information Technologies","Bachelor","M",25558
"3444","Male","Y55-64","ED0-2","B-N","UK",2016,59.9,6.4,"Business economy","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",35.8,"Software development","Master","M",0
"3483","Male","Y15-64","ED0-2","P","UK",2016,66.2,87.8,"Education","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",13.3,"Management and administration","Bachelor","F",17959
"3496","Male","Y20-24","ED5-8","B-N","FR",2020,56,13.7,"Business economy","France","Tertiary education (levels 5-8)",13.3,"Software development","Doctor","F",0
"3503","Male","Y20-29","ED0-2","B-N","FI",2016,42.2,10.7,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",9.9,"Management and administration","Bachelor","F",0
"3506","Male","Y55-64","ED5-8","B-N","DK",2016,78.2,25.5,"Business economy","Denmark","Tertiary education (levels 5-8)",10.8,"Biological science","Bachelor","F",3634
"3541","Female","Y30-54","ED0-2","J","PL",2019,44.1,8,"Information and communication","Poland","Less than primary, primary and lower secondary education (levels 0-2)",4.2,"
Information Technologies","Bachelor","F",10800
"3542","Male","Y20-29","ED0-2","B-N","PL",2017,50.9,36.7,"Business economy","Poland","Less than primary, primary and lower secondary education (levels 0-2)",25.8,"Biological science","Bachelor","M",2798
"3553","Male","Y30-54","ED0-2","B-N","IT",2019,75.8,6.1,"Business economy","Italy","Less than primary, primary and lower secondary education (levels 0-2)",7.9,"Management and administration","Doctor","M",403
"3572","Female","Y20-24","ED0-2","C","FI",2015,31.9,12.9,"Manufacturing","Finland","Less than primary, primary and lower secondary education (levels 0-2)",17,"
Mathematics","Master","F",159
"3584","Female","Y15-64","ED0-2","B","DK",2015,45.4,26.1,"Mining and quarrying","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",10.5,"Biological science","Doctor","M",0
"3591","Female","Y20-24","ED5-8","F","PL",2018,60.3,19.8,"Construction","Poland","Tertiary education (levels 5-8)",15.4,"Engineering and construction","Bachelor","M",126036
"3603","Male","Y20-24","ED0-2","Q","AT",2015,59.9,29.9,"Human health and social work activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23.3,"Management and administration","Bachelor","F",4033
"3633","Male","Y20-24","ED0-2","R","DE",2013,65.8,11.4,"Arts, entertainment and recreation","Germany","Less than primary, primary and lower secondary education (levels 0-2)",25.4,"Biological science","Bachelor","F",20118
"3644","Male","Y20-29","ED5-8","B-N","DE",2016,83.1,8.8,"Business economy","Germany","Tertiary education (levels 5-8)",7.9,"Software development","Doctor","M",0
"3696","Male","Y20-24","ED0-2","R","FR",2019,42.9,18.9,"Arts, entertainment and recreation","France","Less than primary, primary and lower secondary education (levels 0-2)",23.4,"Software development","Doctor","M",0
"3785","Male","Y30-54","ED0-2","B-N","AT",2015,69.1,12.9,"Business economy","Austria","Less than primary, primary and lower secondary education (levels 0-2)",22.7,"Software development","Master","F",52
"3790","Male","Y55-64","ED0-2","B-N","DK",2020,66.4,11.3,"Business economy","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",4.6,"Engineering and construction","Master","F",2899
"3815","Female","Y20-24","ED3_4GEN","E","IE",2020,49.1,46.1,"Water supply; sewerage, waste management and remediation activities","Ireland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",16.6,"Engineering and construction","Bachelor","M",15680
"3819","Male","Y15-64","ED5-8","Q","PL",2018,92.4,35.5,"Human health and social work activities","Poland","Tertiary education (levels 5-8)",9.7,"Biological science","Bachelor","F",6690
"3827","Male","Y15-64","ED0-2","O","IT",2020,55.6,25.8,"Public administration and defence; compulsory social security","Italy","Less than primary, primary and lower secondary education (levels 0-2)",7.2,"
Mathematics","Doctor","F",248
"3833","Female","Y30-54","ED0-2","J","FI",2018,47.7,9.3,"Information and communication","Finland","Less than primary, primary and lower secondary education (levels 0-2)",12.8,"Software development","Master","F",0
"3860","Female","Y30-54","ED0-2","J","PL",2019,44.1,8,"Information and communication","Poland","Less than primary, primary and lower secondary education (levels 0-2)",8.4,"Management and administration","Doctor","F",612
"3864","Female","Y20-24","ED3_4GEN","E","FR",2021,34.4,30.5,"Water supply; sewerage, waste management and remediation activities","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",8.1,"Software development","Doctor","F",0
"3867","Male","Y20-24","ED0-2","R","FI",2017,38.1,44.7,"Arts, entertainment and recreation","Finland","Less than primary, primary and lower secondary education (levels 0-2)",3.8,"
Information Technologies","Doctor","F",308
"3882","Female","Y15-64","ED5-8","B-N","FR",2017,80.4,32.8,"Business economy","France","Tertiary education (levels 5-8)",16.5,"
Mathematics","Bachelor","M",63
"3907","Male","Y30-54","ED5-8","B-N","NL",2015,94.6,30.9,"Business economy","Netherlands","Tertiary education (levels 5-8)",17.6,"Management and administration","Master","M",6995
"3920","Male","Y20-24","ED5-8","B-N","FR",2015,57.1,9.4,"Business economy","France","Tertiary education (levels 5-8)",14.9,"
Mathematics","Bachelor","M",0
"3928","Female","Y20-29","ED5-8","I","FI",2019,81.9,49,"Accommodation and food service activities","Finland","Tertiary education (levels 5-8)",9.6,"Management and administration","Master","M",0
"3937","Female","Y20-24","ED3_4GEN","E","IT",2020,12.9,41.2,"Water supply; sewerage, waste management and remediation activities","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",-2.6,"
Information Technologies","Doctor","F",164
"3959","Female","Y30-54","ED0-2","J","PL",2020,45.9,7.5,"Information and communication","Poland","Less than primary, primary and lower secondary education (levels 0-2)",22.4,"Software development","Master","M",3945
"4007","Female","Y15-64","ED0-2","B","AT",2014,44.3,23.2,"Mining and quarrying","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23.8,"Engineering and construction","Bachelor","M",23524
"4013","Male","Y30-54","ED0-2","B-N","AT",2014,69.6,13.9,"Business economy","Austria","Less than primary, primary and lower secondary education (levels 0-2)",10.6,"Engineering and construction","Master","M",9611
"4019","Female","Y55-64","ED0-2","L","FR",2015,37,5.6,"Real estate activities","France","Less than primary, primary and lower secondary education (levels 0-2)",22.8,"Biological science","Master","F",7518
"4024","Female","Y20-29","ED5-8","I","NL",2019,85.8,41.6,"Accommodation and food service activities","Netherlands","Tertiary education (levels 5-8)",19.5,"
Information Technologies","Master","M",2774
"4038","Male","Y15-64","ED0-2","P","UK",2017,67.1,87.1,"Education","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",24,"Management and administration","Master","F",13317
"4052","Female","Y20-29","ED5-8","I","FR",2013,70.1,50,"Accommodation and food service activities","France","Tertiary education (levels 5-8)",17.1,"
Information Technologies","Master","F",4963
"4053","Male","Y20-24","ED3_4GEN","B-N","UK",2017,60.6,18.3,"Business economy","United Kingdom","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",26.2,"Software development","Master","F",0
"4063","Male","Y20-29","ED3_4GEN","B-N","PL",2021,58.5,8.1,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",25.9,"Software development","Bachelor","F",4498
"4067","Female","Y20-24","ED0-2","D","IT",2018,25,15.4,"Electricity, gas, steam and air conditioning supply","Italy","Less than primary, primary and lower secondary education (levels 0-2)",15.2,"
Mathematics","Master","M",1558
"4082","Female","Y15-64","ED5-8","B-N","DK",2013,83.9,31.4,"Business economy","Denmark","Tertiary education (levels 5-8)",21.3,"Engineering and construction","Bachelor","M",13508
"4093","Female","Y20-29","ED0-2","G","FI",2013,37.1,7.7,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Finland","Less than primary, primary and lower secondary education (levels 0-2)",26.6,"Biological science","Master","F",726
"4133","Female","Y20-29","ED5-8","H","DE",2015,81.8,43.3,"Transportation and storage","Germany","Tertiary education (levels 5-8)",14.5,"
Mathematics","Master","M",16105
"4149","Male","Y20-29","ED0-2","B-N","AT",2015,61.4,16.7,"Business economy","Austria","Less than primary, primary and lower secondary education (levels 0-2)",31.3,"
Information Technologies","Master","F",697
"4186","Female","Y30-54","ED0-2","J","FR",2015,55.1,7.4,"Information and communication","France","Less than primary, primary and lower secondary education (levels 0-2)",14.3,"Biological science","Master","F",7518
"4217","Male","Y20-29","ED3_4GEN","B-N","NL",2019,66.2,8.2,"Business economy","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",25.8,"Engineering and construction","Master","F",4062
"4264","Male","Y20-24","ED3_4GEN","B-N","DE",2020,52.7,11.9,"Business economy","Germany","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",2.4,"Biological science","Master","F",19445
"4295","Male","Y20-24","ED3_4GEN","B-N","PL",2021,38.6,26.1,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",12.8,"Biological science","Master","M",734
"4300","Male","Y15-64","ED0-2","O","DE",2014,51.1,15.5,"Public administration and defence; compulsory social security","Germany","Less than primary, primary and lower secondary education (levels 0-2)",26.2,"
Information Technologies","Master","M",30041
"4303","Female","Y20-24","ED3_4GEN","D","AT",2018,42,21.8,"Electricity, gas, steam and air conditioning supply","Austria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",29.2,"
Information Technologies","Master","M",4245
"4322","Male","Y20-24","ED0-2","R","DK",2016,50.4,19.1,"Arts, entertainment and recreation","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",19,"
Mathematics","Doctor","M",0
"4370","Female","Y55-64","ED0-2","L","FR",2014,36.6,6.3,"Real estate activities","France","Less than primary, primary and lower secondary education (levels 0-2)",3.6,"Engineering and construction","Master","F",47601
"4377","Female","Y15-64","ED0-2","B","DE",2016,42.1,20.6,"Mining and quarrying","Germany","Less than primary, primary and lower secondary education (levels 0-2)",10.5,"Management and administration","Master","F",7768
"4397","Female","Y20-29","ED5-8","H","DE",2016,81.6,43.1,"Transportation and storage","Germany","Tertiary education (levels 5-8)",24.7,"Engineering and construction","Doctor","M",27900
"4400","Female","Y30-54","ED0-2","J","IE",2017,38.7,22.5,"Information and communication","Ireland","Less than primary, primary and lower secondary education (levels 0-2)",22.5,"Engineering and construction","Master","M",1408
"4415","Female","Y55-64","ED5-8","N","IE",2014,56,23,"Administrative and support service activities","Ireland","Tertiary education (levels 5-8)",14.1,"Engineering and construction","Master","F",447
"4432","Male","Y20-24","ED0-2","Q","AT",2018,60.6,33.4,"Human health and social work activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",14.4,"Biological science","Bachelor","F",5239
"4476","Female","Y30-54","ED0-2","J","DE",2017,56.8,15.6,"Information and communication","Germany","Less than primary, primary and lower secondary education (levels 0-2)",23.9,"Biological science","Doctor","M",6400
"4500","Female","Y55-64","ED0-2","L","DE",2018,49.7,4.7,"Real estate activities","Germany","Less than primary, primary and lower secondary education (levels 0-2)",25,"Management and administration","Doctor","F",0
"4512","Male","Y30-54","ED5-8","B-N","AT",2015,93.1,4.7,"Business economy","Austria","Tertiary education (levels 5-8)",30.3,"
Mathematics","Master","M",362
"4522","Female","Y20-29","ED5-8","I","PL",2017,76.8,35.9,"Accommodation and food service activities","Poland","Tertiary education (levels 5-8)",15.5,"Engineering and construction","Master","M",30551
"4525","Female","Y55-64","ED5-8","M","AT",2019,64.6,4.6,"Professional, scientific and technical activities","Austria","Tertiary education (levels 5-8)",27.5,"Management and administration","Bachelor","M",4310
"4540","Male","Y30-54","ED0-2","B-N","FR",2020,72.7,60,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",-2.4,"
Information Technologies","Doctor","M",2037
"4545","Male","Y20-29","ED5-8","B-N","FR",2020,72.6,5.4,"Business economy","France","Tertiary education (levels 5-8)",1.1,"
Information Technologies","Bachelor","M",26652
"4547","Male","Y15-64","ED0-2","O","IE",2013,44,27.1,"Public administration and defence; compulsory social security","Ireland","Less than primary, primary and lower secondary education (levels 0-2)",31.8,"Biological science","Bachelor","F",2613
"4557","Female","Y20-29","ED3_4GEN","H","DK",2018,67.9,7.1,"Transportation and storage","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10,"
Information Technologies","Master","M",3185
"4562","Male","Y30-54","ED3_4GEN","B-N","FI",2021,80.8,19.2,"Business economy","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",19.1,"Management and administration","Doctor","M",0
"4592","Male","Y20-29","ED3_4GEN","B-N","PL",2014,53.2,6.1,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",19.2,"Engineering and construction","Master","F",20166
"4626","Male","Y15-64","ED5-8","Q","IT",2019,83.3,37,"Human health and social work activities","Italy","Tertiary education (levels 5-8)",7.9,"Engineering and construction","Master","M",68967
"4670","Male","Y30-54","ED0-2","B-N","FI",2021,65,7.5,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",9.7,"Engineering and construction","Master","F",3068
"4682","Female","Y55-64","ED3_4GEN","M","NL",2021,63.7,17.6,"Professional, scientific and technical activities","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",19.3,"Engineering and construction","Bachelor","F",13044
"4716","Female","Y20-24","ED0-2","D","UK",2018,53,12.4,"Electricity, gas, steam and air conditioning supply","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",27.9,"Biological science","Master","M",8580
"4739","Female","Y20-24","ED5-8","F","PL",2021,52.2,20.1,"Construction","Poland","Tertiary education (levels 5-8)",15.1,"Biological science","Bachelor","M",2042
"4741","Male","Y20-24","ED3_4GEN","B-N","PL",2017,40.9,24,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",11.3,"
Mathematics","Doctor","F",95
"4754","Male","Y30-54","ED0-2","B-N","DE",2021,74.1,16.2,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",2.2,"Management and administration","Doctor","F",1220
"4755","Male","Y15-64","ED0-2","P","PL",2016,29.1,22.4,"Education","Poland","Less than primary, primary and lower secondary education (levels 0-2)",5,"Management and administration","Bachelor","F",79391
"4768","Male","Y20-29","ED0-2","B-N","FI",2013,49,25.5,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",10.4,"Biological science","Bachelor","F",1791
"4772","Male","Y20-29","ED0-2","B-N","FR",2018,50.8,45,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",15.4,"Management and administration","Doctor","M",930
"4797","Female","Y15-64","ED0-2","B","FR",2020,32.9,21.7,"Mining and quarrying","France","Less than primary, primary and lower secondary education (levels 0-2)",14.5,"
Mathematics","Doctor","M",406
"4803","Female","Y20-29","ED0-2","F","AT",2020,52.6,11.3,"Construction","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23.1,"
Mathematics","Doctor","M",236
"4806","Male","Y20-29","ED3_4GEN","B-N","PL",2014,53.2,6.1,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",17.7,"Biological science","Master","F",3283
"4831","Female","Y20-29","ED3_4GEN","H","FI",2017,57.2,12.2,"Transportation and storage","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",18.3,"Engineering and construction","Bachelor","F",6956
"4859","Female","Y55-64","ED5-8","N","FR",2018,62.7,60.6,"Administrative and support service activities","France","Tertiary education (levels 5-8)",14.6,"Software development","Doctor","M",0
"4915","Female","Y30-54","ED5-8","K","FR",2015,86.6,59.4,"Financial and insurance activities","France","Tertiary education (levels 5-8)",-6.5,"Engineering and construction","Master","M",101488
"4928","Male","Y55-64","ED5-8","B-N","IT",2020,87.2,29.9,"Business economy","Italy","Tertiary education (levels 5-8)",68.6,"Engineering and construction","Bachelor","M",140586
"4941","Male","Y55-64","ED5-8","B-N","FI",2021,78.4,31.2,"Business economy","Finland","Tertiary education (levels 5-8)",17.2,"Software development","Bachelor","M",0
"4957","Male","Y20-29","ED0-2","B-N","FR",2017,50.3,49.7,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",31.6,"Software development","Doctor","M",0
"4959","Female","Y20-29","ED0-2","G","FI",2015,31,7.2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Finland","Less than primary, primary and lower secondary education (levels 0-2)",8.4,"
Information Technologies","Doctor","M",1265
"4963","Male","Y20-29","ED0-2","B-N","FI",2018,44.6,11.6,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",8.2,"
Mathematics","Master","M",288
"4973","Male","Y55-64","ED0-2","B-N","DE",2021,63.3,3.9,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",7.8,"Biological science","Bachelor","M",15144
"4982","Female","Y20-24","ED0-2","D","FR",2016,28.5,10.5,"Electricity, gas, steam and air conditioning supply","France","Less than primary, primary and lower secondary education (levels 0-2)",27,"
Information Technologies","Bachelor","F",3435
"4985","Female","Y20-24","ED0-2","C","DE",2018,51.9,20.3,"Manufacturing","Germany","Less than primary, primary and lower secondary education (levels 0-2)",8.3,"Engineering and construction","Master","M",116302
"5025","Male","Y15-64","ED5-8","Q","NL",2018,91.1,7.3,"Human health and social work activities","Netherlands","Tertiary education (levels 5-8)",19.7,"Engineering and construction","Master","M",9564
"5027","Male","Y20-29","ED5-8","B-N","PL",2021,85,13.6,"Business economy","Poland","Tertiary education (levels 5-8)",6.9,"Software development","Master","F",666
"5034","Female","Y55-64","ED3_4GEN","M","PL",2021,41.9,12,"Professional, scientific and technical activities","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",18.1,"Biological science","Master","F",2705
"5046","Female","Y20-24","ED3_4GEN","E","NL",2021,74.3,29.7,"Water supply; sewerage, waste management and remediation activities","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",15.5,"Engineering and construction","Bachelor","F",13044
"5077","Male","Y15-64","ED5-8","Q","FR",2020,84.7,49.6,"Human health and social work activities","France","Tertiary education (levels 5-8)",6,"
Mathematics","Doctor","F",112
"5078","Male","Y20-29","ED3_4GEN","B-N","NL",2017,63.9,7.9,"Business economy","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",9.7,"Engineering and construction","Master","F",3457
"5080","Male","Y20-29","ED5-8","B-N","FI",2020,88.9,5.5,"Business economy","Finland","Tertiary education (levels 5-8)",12.7,"
Mathematics","Doctor","M",113
"5092","Male","Y15-64","ED5-8","Q","FI",2019,88,25.4,"Human health and social work activities","Finland","Tertiary education (levels 5-8)",15.9,"Engineering and construction","Master","F",2594
"5100","Male","Y55-64","ED0-2","B-N","FR",2021,42.5,13.9,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",-1.9,"
Mathematics","Bachelor","M",0
"5113","Male","Y20-24","ED5-8","B-N","FI",2019,78.4,16.6,"Business economy","Finland","Tertiary education (levels 5-8)",15.9,"Engineering and construction","Doctor","F",1068
"5147","Female","Y15-64","ED0-2","B","FI",2016,32.4,16.4,"Mining and quarrying","Finland","Less than primary, primary and lower secondary education (levels 0-2)",13,"
Mathematics","Bachelor","M",1561
"5150","Male","Y15-64","ED0-2","O","AT",2018,52.9,40.7,"Public administration and defence; compulsory social security","Austria","Less than primary, primary and lower secondary education (levels 0-2)",22,"Management and administration","Doctor","M",45
"5152","Male","Y30-54","ED3_4GEN","B-N","FI",2021,80.8,19.2,"Business economy","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",12.1,"Management and administration","Doctor","F",0
"5153","Male","Y55-64","ED0-2","B-N","FR",2019,44.2,14.3,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",14.1,"Engineering and construction","Doctor","M",4988
"5158","Male","Y30-54","ED5-8","B-N","DE",2016,95.3,50.7,"Business economy","Germany","Tertiary education (levels 5-8)",13.2,"Management and administration","Bachelor","M",24249
"5169","Female","Y15-64","ED5-8","B-N","FI",2019,85,42.9,"Business economy","Finland","Tertiary education (levels 5-8)",11.5,"Management and administration","Bachelor","M",0
"5184","Female","Y55-64","ED5-8","N","DK",2021,76.7,33.5,"Administrative and support service activities","Denmark","Tertiary education (levels 5-8)",9.8,"Biological science","Bachelor","F",3664
"5202","Female","Y55-64","ED0-2","L","FI",2015,43.5,37,"Real estate activities","Finland","Less than primary, primary and lower secondary education (levels 0-2)",9.9,"Software development","Doctor","M",0
"5209","Male","Y20-29","ED3_4GEN","B-N","IE",2019,68.4,9.4,"Business economy","Ireland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",18.5,"Software development","Master","M",1447
"5238","Male","Y20-29","ED5-8","B-N","DK",2018,79.5,8.1,"Business economy","Denmark","Tertiary education (levels 5-8)",9.2,"Biological science","Doctor","M",0
"5245","Male","Y20-24","ED0-2","R","FI",2016,33,45.5,"Arts, entertainment and recreation","Finland","Less than primary, primary and lower secondary education (levels 0-2)",17.3,"Management and administration","Master","F",0
"5257","Male","Y20-24","ED5-8","B-N","FI",2019,78.4,16.6,"Business economy","Finland","Tertiary education (levels 5-8)",2.8,"Biological science","Bachelor","M",600
"5290","Male","Y30-54","ED0-2","B-N","FI",2017,66.6,19.4,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",16.2,"
Information Technologies","Master","M",4241
"5299","Male","Y15-64","ED5-8","Q","NL",2016,90.1,8.7,"Human health and social work activities","Netherlands","Tertiary education (levels 5-8)",22.9,"Management and administration","Bachelor","M",58115
"5303","Male","Y30-54","ED5-8","B-N","PL",2018,96.1,35.4,"Business economy","Poland","Tertiary education (levels 5-8)",15.1,"Biological science","Doctor","M",609
"5307","Male","Y20-29","ED5-8","B-N","DE",2021,85.4,9.9,"Business economy","Germany","Tertiary education (levels 5-8)",26.6,"Biological science","Doctor","F",8606
"5314","Female","Y55-64","ED0-2","L","FR",2019,38.4,40.2,"Real estate activities","France","Less than primary, primary and lower secondary education (levels 0-2)",16.4,"
Information Technologies","Master","F",7313
"5356","Male","Y20-29","ED3_4GEN","B-N","DK",2016,61.8,17.8,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",5.6,"Management and administration","Bachelor","M",5286
"5357","Female","Y20-24","ED3_4GEN","E","NL",2019,63.9,33.7,"Water supply; sewerage, waste management and remediation activities","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",17.1,"Engineering and construction","Doctor","F",574
"5359","Male","Y20-29","ED0-2","B-N","DE",2021,66,15.3,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",10,"Biological science","Doctor","M",5950
"5376","Female","Y55-64","ED0-2","L","AT",2015,28.2,50.5,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",26.2,"Software development","Doctor","M",1
"5388","Male","Y30-54","ED0-2","B-N","FR",2018,73,7.7,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",17.2,"Management and administration","Master","M",30525
"5397","Female","Y55-64","ED0-2","L","AT",2018,32.6,54.3,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",18.3,"Management and administration","Doctor","M",45
"5482","Male","Y30-54","ED0-2","B-N","IE",2014,63.8,10.2,"Business economy","Ireland","Less than primary, primary and lower secondary education (levels 0-2)",16.4,"
Information Technologies","Bachelor","F",1688
"5508","Male","Y30-54","ED5-8","B-N","PL",2016,95.5,52.3,"Business economy","Poland","Tertiary education (levels 5-8)",26.2,"Biological science","Master","F",3869
"5509","Female","Y20-29","ED3_4GEN","H","NL",2018,65.6,24.5,"Transportation and storage","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",29.2,"
Information Technologies","Bachelor","F",2498
"5523","Female","Y30-54","ED0-2","I","AT",2018,63.2,19.7,"Accommodation and food service activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",18.3,"Biological science","Master","M",815
